94.2197,93.9306,92.7746,89.8844
93.6416,93.6416,89.3064,86.1272
91.6185,91.6185,86.1272,86.7052
93.6416,93.6416,89.3064,90.4624
93.3526,91.6185,92.4855,89.3064
94.5087,94.5087,92.1965,91.3295
92.7746,91.6185,86.4162,86.1272
91.6185,91.6185,86.4162,90.7514
93.3526,93.6416,90.1734,86.7052
93.9306,92.7746,83.815,89.3064
92.1965,92.1965,88.7283,87.2832
93.3526,93.3526,89.8844,89.0173
95.9538,95.9538,87.8613,88.1503
92.7746,92.7746,87.8613,91.6185
92.7746,92.7746,90.7514,87.5723
92.7746,91.0405,87.5723,88.4393
93.9306,93.9306,82.0809,85.2601
94.7977,93.6416,90.7514,87.8613
93.0636,91.9075,86.7052,84.6821
95.9538,95.9538,92.1965,87.8613
93.5116,93.1069,88.6705,88.2225
